StationUniqueId,AreaName,Lat,Lon,Name
940GZZLUSJW,A-FIN,51.53454,-0.17415,St John's Wood
940GZZLUSKS,A-PEL,51.49407,-0.1741,South Kensington
940GZZLUSKW,A-CLA,51.47225,-0.12266,Stockwell
940GZZLUSNB,A-STA,51.58103,0.02143,Snaresbrook
940GZZLUSPU,A-NEW,51.51494,-0.09758,St Paul's
940GZZLUSSQ,A-SLO,51.49249,-0.15663,Sloane Square
940GZZLUSTM,A-LON,51.61973,-0.30317,Stanmore
940GZZLUSUH,A-GRE,51.55701,-0.33607,Sudbury Hill
940GZZLUSUT,A-STA,51.55095,-0.31558,Sudbury Town
940GZZLUSWC,A-A-E,51.5433,-0.1744,Swiss Cottage
940GZZLUSWF,A-G-E,51.59193,0.02769,South Woodford
940GZZLUSWK,A-CUT,51.50375,-0.10469,Southwark
940GZZLUSWN,A-MOR,51.41527,-0.19251,South Wimbledon
940GZZLUTAW,A-TOT,51.63018,-0.17928,Totteridge & Whetstone
940GZZLUTBC,A-TRI,51.43576,-0.15972,Tooting Bec
940GZZLUTBY,A-TOO,51.42793,-0.16809,Tooting Broadway
940GZZLUTFP,A-BRE,51.55672,-0.13816,Tufnell Park
940GZZLUTHB,A-STA,51.67137,0.10289,Theydon Bois
940GZZLUTMP,A-TEM,51.51101,-0.11397,Temple
940GZZLUTNG,A-TUR,51.49538,-0.25521,Turnham Green
940GZZLUTPN,A-BUS,51.59057,-0.10262,Turnpike Lane
940GZZLUTWH,A-TRI,51.5102,-0.07681,Tower Hill
940GZZLUUPB,A-UPM,51.55901,0.23587,Upminster Bridge
940GZZLUUPK,A-GRE,51.53548,0.03521,Upton Park
940GZZLUUPY,A-UPN,51.53849,0.10156,Upney
940GZZLUUXB,A-UXB,51.54605,-0.47922,Uxbridge
940GZZLUWAF,A-CAS,51.65765,-0.41769,Watford
940GZZLUWCY,A-WOO,51.51196,-0.22474,White City
940GZZLUWFN,A-NET,51.60958,-0.18863,West Finchley
940GZZLUWHP,A-WES,51.54677,-0.19102,West Hampstead
940GZZLUWHW,A-VAU,51.58015,-0.35312,West Harrow
940GZZLUWIG,A-WAL,51.54924,-0.22094,Willesden Green
940GZZLUWIP,A-ART,51.43462,-0.19962,Wimbledon Park
940GZZLUWKA,A-W-N,51.52336,-0.18366,Warwick Avenue
940GZZLUWKN,A-NOR,51.4907,-0.20686,West Kensington
940GZZLUWLA,BookH,51.50968,-0.22446,Wood Lane
940GZZLUWOF,A-BRO,51.60744,0.03359,Woodford
940GZZLUWOG,A-WOO,51.5973,-0.10997,Wood Green
940GZZLUWOP,A-WOO,51.61795,-0.18516,Woodside Park
940GZZLUWRR,A-TOT,51.52457,-0.13799,Warren Street
940GZZLUWSD,A-EAS,51.57559,0.02831,Wanstead
940GZZLUWSP,A-GRE,51.5209,-0.20067,Westbourne Park
940GZZLUWTA,A-NOE,51.51789,-0.28108,West Acton
940GZZLUWYP,A-BRI,51.56326,-0.2792,Wembley Park
940GZZNEUGST,BH,51.47991,-0.12848,Nine Elms
HUBABW,Bus,51.49238,0.12128,Abbey Wood
HUBAMR,A-CHI,51.67425,-0.60731,Amersham
HUBBAL,A-CHE,51.44351,-0.15319,Balham
HUBBAN,BMez,51.5124,-0.09031,Bank
HUBBDS,A-O-S,51.51439,-0.1489,Bond Street
HUBBEK,Entr,51.41059,-0.0259,Beckenham Junction
HUBBFR,Bdg,51.51035,-0.10424,Blackfriars
HUBBHO,A-FOR,51.58698,-0.04171,Blackhorse Road
HUBBIR,EntrT,51.40374,-0.05529,Birkbeck
HUBBKG,BookH,51.53955,0.08142,Barking
HUBBRX,A-BRI,51.46265,-0.11496,Brixton
HUBBSH,Swa,51.64602,-0.38635,Bushey
HUBCAN,BookH,51.51446,0.00761,Canning Town
HUBCAW,BookJ,51.50368,-0.01866,Canary Wharf
